#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZP,2-B,"ZCR M 1/8""",нерж.сталь SM6L
,,4-B,"ZCR M 1/4""",нерж.сталь SM6L
,,8-B,"ZCR M 1/2""",нерж.сталь SM6L
,,12-B,"ZCR M 3/4""",нерж.сталь SM6L
,,16-B,"ZCR M 1""",нерж.сталь SM6L
