#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-MLA,4-B,"патрубок 1/4""",нерж.сталь VV6L
,,6-B,"патрубок 3/8""",нерж.сталь VV6L
,,8-B,"патрубок 1/2""",нерж.сталь VV6L
,,6M-B,патрубок 6mm,нерж.сталь VV6L
,,8M-B,патрубок 8mm,нерж.сталь VV6L
,,10M-B,патрубок 10mm,нерж.сталь VV6L
,,12M-B,патрубок 12mm,нерж.сталь VV6L
