#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:T (M);Условное обозначение:Размер:Наруж. диаметр трубы (D);Условное обозначение:Размер:T (M);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CMC;4-M16;Hy-Lok 1/4;M16x1.5P;Подсоединение;Подсоединение T (M);-;S316;Нержавеющая сталь
;;4-M20;Hy-Lok 1/4;M20x1.5P;Подсоединение;Подсоединение T (M);BRAS;BRAS;Латунь
;;8-M20;Hy-Lok 1/2;M20x1.5P;Подсоединение;Подсоединение T (M);STEL;STEL;Углеродистая сталь
;;6M-M10;Hy-Lok 6mm;M10x1.5P;Подсоединение;Подсоединение T (M);;;
;;6M-M12;Hy-Lok 6mm;M12x1.5P;Подсоединение;Подсоединение T (M);;;
;;6M-M16;Hy-Lok 6mm;M16x1.5P;Подсоединение;Подсоединение T (M);;;
;;6M-M20;Hy-Lok 6mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;8M-M12;Hy-Lok 8mm;M12x1.5P;Подсоединение;Подсоединение T (M);;;
;;8M-M20;Hy-Lok 8mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;10M-M14;Hy-Lok 10mm;M14x1.5P;Подсоединение;Подсоединение T (M);;;
;;10M-M16;Hy-Lok 10mm;M16x1.5P;Подсоединение;Подсоединение T (M);;;
;;10M-M20;Hy-Lok 10mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;12M-M10;Hy-Lok 12mm;M10x1.5P;Подсоединение;Подсоединение T (M);;;
;;12M-M16;Hy-Lok 12mm;M16x1.5P;Подсоединение;Подсоединение T (M);;;
;;12M-M20;Hy-Lok 12mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;14M-M20;Hy-Lok 14mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;16M-M20;Hy-Lok 16mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;18M-M20;Hy-Lok 18mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;20M-M20;Hy-Lok 20mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
;;25M-M20;Hy-Lok 25mm;M20x1.5P;Подсоединение;Подсоединение T (M);;;
