#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZSFC,4-4N-B,"ZCR F 1/4""","NPT 1/4""",нерж.сталь SM6L
,,8-6N-B,"ZCR F 1/2""","NPT 3/8""",нерж.сталь SM6L
,,8-8N-B,"ZCR F 1/2""","NPT 1/2""",нерж.сталь SM6L
