#,Заказной код,Размер,Параметр:Размер:Наруж. диаметр трубы (D),Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CFS,1,"Hy-Lok 1/16""",-,S316,Нержавеющая сталь
,,2,"Hy-Lok 1/8""",BRAS,BRAS,Латунь
,,3,"Hy-Lok 3/16""",STEL,STEL,Углеродистая сталь
,,4,"Hy-Lok 1/4""",,,
,,5,"Hy-Lok 5/16""",,,
,,6,"Hy-Lok 3/8""",,,
,,8,"Hy-Lok 1/2""",,,
,,10,"Hy-Lok 5/8""",,,
,,12,"Hy-Lok 3/4""",,,
,,14,"Hy-Lok 7/8""",,,
,,16,"Hy-Lok 1""",,,
,,20,"Hy-Lok 1 1/4""",,,
,,24,"Hy-Lok 1 1/2""",,,
,,32,"Hy-Lok 2""",,,
