#;Заказной код;Наруж. диаметр трубы (D);Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D);Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CBU;3M;Hy-Lok 3mm;Подсоединение;-;S316;Нержавеющая сталь
;;4M;Hy-Lok 4mm;Подсоединение;BRAS;BRAS;Латунь
;;6M;Hy-Lok 6mm;Подсоединение;STEL;STEL;Углеродистая сталь
;;8M;Hy-Lok 8mm;Подсоединение;;;
;;10M;Hy-Lok 10mm;Подсоединение;;;
;;12M;Hy-Lok 12mm;Подсоединение;;;
;;14M;Hy-Lok 14mm;Подсоединение;;;
;;15M;Hy-Lok 15mm;Подсоединение;;;
;;16M;Hy-Lok 16mm;Подсоединение;;;
;;18M;Hy-Lok 18mm;Подсоединение;;;
;;20M;Hy-Lok 20mm;Подсоединение;;;
;;22M;Hy-Lok 22mm;Подсоединение;;;
;;25M;Hy-Lok 25mm;Подсоединение;;;
;;32M;Hy-Lok 32mm;Подсоединение;;;
;;38M;Hy-Lok 38mm;Подсоединение;;;
