#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-HCT,2-2,"Ёлочка 1/8""","Ниппель 1/8""",-,S316,Нержавеющая сталь
,,2-4,"Ёлочка 1/8""","Ниппель 1/4""",STEL,STEL,Углеродистая сталь
,,4-4,"Ёлочка 1/4""","Ниппель 1/4""",BRAS,BRAS,Латунь
,,4-6,"Ёлочка 1/4""","Ниппель 3/8""",,,
,,4-6M,"Ёлочка 1/4""",Ниппель 6mm,,,
,,5-4,"Ёлочка 5/16""","Ниппель 1/4""",,,
,,6-6,"Ёлочка 3/8""","Ниппель 3/8""",,,
,,6-8,"Ёлочка 3/8""","Ниппель 1/2""",,,
,,8-6,"Ёлочка 1/2""","Ниппель 3/8""",,,
,,8-8,"Ёлочка 1/2""","Ниппель 1/2""",,,
,,12-12,"Ёлочка 3/4""","Ниппель 3/4""",,,
