#;Заказной код;Параметр:Заказной код:Подсоединение;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CNFS-2M-SET;Hy-Lok 2mm;-;S316;Нержавеющая сталь
;CNFS-3M-SET;Hy-Lok 3mm;BRAS;BRAS;Латунь
;CNFS-4M-SET;Hy-Lok 4mm;STEL;STEL;Углеродистая сталь
;CNFS-6M-SET;Hy-Lok 6mm;;;
;CNFS-8M-SET;Hy-Lok 8mm;;;
;CNFS-10M-SET;Hy-Lok 10mm;;;
;CNFS-12M-SET;Hy-Lok 12mm;;;
;CNFS-14M-SET;Hy-Lok 14mm;;;
;CNFS-15M-SET;Hy-Lok 15mm;;;
;CNFS-18M-SET;Hy-Lok 18mm;;;
;CNFS-20M-SET;Hy-Lok 20mm;;;
;CNFS-22M-SET;Hy-Lok 22mm;;;
;CNFS-25M-SET;Hy-Lok 25mm;;;
;CNFS-32M-SET;Hy-Lok 32mm;;;
;CNFS-38M-SET;Hy-Lok 38mm;;;
;CNFS-50M-SET;Hy-Lok 50mm;;;
