#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:D1,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,COP,2-2,"Hy-Lok 1/8""","NPT 1/8""",-,S316,Нержавеющая сталь
,,4-2,"Hy-Lok 1/4""","NPT 1/8""",BRAS,BRAS,Латунь
,,4-4,"Hy-Lok 1/4""","NPT 1/4""",STEL,STEL,Углеродистая сталь
,,6-4,"Hy-Lok 3/8""","NPT 1/4""",,,
,,6-6,"Hy-Lok 3/8""","NPT 3/8""",,,
,,6-8,"Hy-Lok 3/8""","NPT 1/2""",,,
,,8-8,"Hy-Lok 1/2""","NPT 1/2""",,,
