#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-POU,4,"Под шланг 1/4""",-,S316,Нержавеющая сталь
,,6,"Под шланг 3/8""",STEL,STEL,Углеродистая сталь
,,8,"Под шланг 1/2""",BRAS,BRAS,Латунь
