#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1DSF-2N,"NPT 1/8""",-,S316,Нержавеющая сталь
,,1DSF-4N,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,2DSF-4N,"NPT 1/4""",BRAS,BRAS,Латунь
,,2DSF-6N,"NPT 3/8""",,,
,,3DSF-8N,"NPT 1/2""",,,
,,1DSF-4R,"PT 1/4""",,,
,,2DSF-6R,"PT 3/8""",,,
,,3DSF-8R,"PT 1/2""",,,
