#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2,Параметр:Заказной код:Аналог продукции,Параметр:Материал:Материал,
,TH06LROMD71,Hy-Lok 6mm,"Hy-Lok 1/8""",DSVT-06L-01G,S316,
,TH08LROMD71,Hy-Lok 8mm,"Hy-Lok 1/4""",DSVT-08L-02G,S316,
,TH10LROMD71,Hy-Lok 10mm,"Hy-Lok 1/4""",DSVT-10L-02G,S316,
,TH12LROMD71,Hy-Lok 12mm,"Hy-Lok 3/8""",DSVT-12L-03G,S316,
,TH15LROMD71,Hy-Lok 15mm,"Hy-Lok 1/2""",DSVT-15L-04G,S316,
,TH18LROMD71,Hy-Lok 18mm,"Hy-Lok 1/2""",DSVT-18L-04G,S316,
,TH22LROMD71,Hy-Lok 22mm,"Hy-Lok 3/4""",DSVT-22L-06G,S316,
,TH28LROMD71,Hy-Lok 28mm,"Hy-Lok 1""",DSVT-28L-08G,S316,
,TH35LROMD71,Hy-Lok 35mm,"Hy-Lok 1 1/4""",DSVT-35L-10G,S316,
,TH42LROMD71,Hy-Lok 42mm,"Hy-Lok 1 1/2""",DSVT-42L-12G,S316,
,TH06LROMDCF,Hy-Lok 20mm,"Hy-Lok 1/8""",DSVT-06L-01G-STEL,STEL,
,TH08LROMDCF,Hy-Lok 25mm,"Hy-Lok 1/4""",DSVT-08L-02G-STEL,STEL,
,TH10LROMDCF,Hy-Lok 25mm,"Hy-Lok 1/4""",DSVT-10L-02G-STEL,STEL,
,TH12LROMDCF,Hy-Lok 25mm,"Hy-Lok 3/8""",DSVT-12L-03G-STEL,STEL,
,TH15LROMDCF,Hy-Lok 30mm,"Hy-Lok 1/2""",DSVT-15L-04G-STEL,STEL,
,TH18LROMDCF,Hy-Lok 30mm,"Hy-Lok 1/2""",DSVT-18L-04G-STEL,STEL,
,TH22LROMDCF,Hy-Lok 30mm,"Hy-Lok 3/4""",DSVT-22L-06G-STEL,STEL,
,TH28LROMDCF,Hy-Lok 30mm,"Hy-Lok 1""",DSVT-28L-08G-STEL,STEL,
