#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-MFAA,2RN,"RT 1/8""","NPT 1/8""",-,S316,Нержавеющая сталь
,,4RN,"RT 1/4""","NPT 1/4""",BRAS,BRAS,Латунь
,,6RN,"RT 3/8""","NPT 3/8""",STEL,STEL,Углеродистая сталь
,,8RN,"RT 1/2""","NPT 1/2""",,,
,,12RN,"RT 3/4""","NPT 3/4""",,,
,,16RN,"RT 1""","NPT 1""",,,
