#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,,
,H-ZGSK,2,"ZCR 1/8""",-,S316,,
,,4,"ZCR 1/4""",316L,316L,,
,,8,"ZCR 1/2""",NI,NI,,
,,12,"ZCR 3/4""",,,,
,,16,"ZCR 1""",,,,
