#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SNR,4-2G,"G 1/4""","G 1/8""",-,S316,Нержавеющая сталь
,,6-2G,"G 3/8""","G 1/8""",STEL,STEL,Углеродистая сталь
,,6-4G,"G 3/8""","G 1/4""",BRAS,BRAS,Латунь
,,8-4G,"G 1/2""","G 1/4""",,,
,,12-8G,"G 3/4""","G 1/2""",,,
,,16-12G,"G 1""","G 3/4""",,,
,,8N-4G,"NPT 1/2""","G 1/4""",,,
,,8N-6G,"NPT 1/2""","G 3/8""",,,
,,12N-8G,"NPT 3/4""","G 1/2""",,,
,,4N-2G,"NPT 1/4""","G 1/8""",,,
,,M12x1.5P-4N,"NPT 1/4""",M12x1.5,,,
,,M16x1.5P-4N,"NPT 1/4""",M16x1.5,,,
,,M20x1.5P-4N,"NPT 1/4""",M20x1.5,,,
,,M20-4G,M20x1.5,"G 1/4""",,,
