#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DAK,10X1.0,DIN 10mm,-,S316,Нержавеющая сталь (316-я)
,,10X1.5,DIN 10mm,STEL,STEL,Углеродистая сталь
,,10X2.0,DIN 10mm,BRAS,BRAS,Латунь
,,12X1.5,DIN 12mm,,,
,,12X2.0,DIN 12mm,,,
,,12X2.5,DIN 12mm,,,
,,16X1.5,DIN 16mm,,,
,,12x2,DIN 12mm,,,
,,16X2.0,DIN 16mm,,,
,,16X2.5,DIN 16mm,,,
,,16X3.0,DIN 16mm,,,
,,20X2.0,DIN 20mm,,,
,,20X2.5,DIN 20mm,,,
,,20X3.0,DIN 20mm,,,
,,20X4.0,DIN 20mm,,,
,,25X3.0,DIN 25mm,,,
,,25X4.0,DIN 25mm,,,
,,25X5.0,DIN 25mm,,,
,,30X3.0,DIN 30mm,,,
,,30X4.0,DIN 30mm,,,
,,30X5.0,DIN 30mm,,,
,,30X6.0,DIN 30mm,,,
,,38X4.0,DIN 38mm,,,
,,38X5.0,DIN 38mm,,,
,,38X6.0,DIN 38mm,,,
,,38X7.0,DIN 38mm,,,
