#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZSMH,4-4-B,"ZCR 1/4""","Hy-Lok 1/4""",нерж.сталь SM6L
,,4-6-B,"ZCR 1/4""","Hy-Lok 3/8""",нерж.сталь SM6L
,,8-8-B,"ZCR 1/2""","Hy-Lok 1/2""",нерж.сталь SM6L
