#,Заказной код,Размер,Параметр:Размер:Вход,Параметр:Размер:Выход
,H-SNL,4N-M20L50-YK,"NPT 1/4""",M20x1.5
,,8NM20L66-YK-S316,"NPT 1/2""",M20x1.5
