#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Под приварку,Материал,Параметр:Материал:Материал
,H-SNLW,4N-12M,"NPT 1/4""",12x1.5mm,-,S316
,,4N-14M,"NPT 1/4""",14x1.5mm,STEL,STEL
,,8N-12M,"NPT 1/2""",12x1.5mm,BRAS,BRAS
,,8N-14M,"NPT 1/2""",14x2mm,,
