#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZHG,6L15.2-B,"ниппель 3/8""",нерж.сталь SM6L
,,6L30.2-B,"ниппель 3/8""",нерж.сталь SM6L
,,6L33.3-B,"ниппель 3/8""",нерж.сталь SM6L
