#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZCP,2-B,"ZCR F 1/8""",нерж.сталь SM6L
,,4-B,"ZCR F 1/4""",нерж.сталь SM6L
,,4-B-SM6L,"ZCR F 1/4""",нерж.сталь SM6L
,,8-B,"ZCR F 1/2""",нерж.сталь SM6L
,,8-B-SM6L,"ZCR F 1/2""",нерж.сталь SM6L
,,12-B,"ZCR F 3/4""",нерж.сталь SM6L
,,16-B,"ZCR F 1""",нерж.сталь SM6L
