#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZMSG,4A-B,"ZCR 1/4""",нерж.сталь SM6L
,,6A-B,"ZCR 3/8""",нерж.сталь SM6L
,,8A-B,"ZCR 1/2""",нерж.сталь SM6L
,,6MA-B,ZCR 6mm,нерж.сталь SM6L
,,8MA-B,ZCR 8mm,нерж.сталь SM6L
,,10MA-B,ZCR 10mm,нерж.сталь SM6L
,,12MA-B,ZCR 12mm,нерж.сталь SM6L
