#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:SAE/MS,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CPR,6M-3M,Hy-Lok 6mm,3mm,-,S316,Нержавеющая сталь
,,8M-6M,Hy-Lok 8mm,6mm,BRAS,BRAS,Латунь
,,10M-3M,Hy-Lok 10mm,3mm,STEL,STEL,Углеродистая сталь
,,10M-6M,Hy-Lok 10mm,6mm,,,
,,10M-8M,Hy-Lok 10mm,8mm,,,
,,12M-6M,Hy-Lok 12mm,6mm,,,
,,12M-8M,Hy-Lok 12mm,8mm,,,
,,12M-10M,Hy-Lok 12mm,10mm,,,
,,16M-6M,Hy-Lok 16mm,6mm,,,
,,16M-12M,Hy-Lok 16mm,12mm,,,
,,20M-12M,Hy-Lok 20mm,12mm,,,
