#,Заказной код,Параметр:Заказной код:Ширина,Параметр:Заказной код:Предел
,E30KVSBI-30/15,30,15-30
,E30KVSBI-35/18,30/40,18-35
,E30KVSBI-40/20,40,20-40
,E30KVSBI-50/25,50,25-50
,E30KVSBI-60/30,60,30-60
,E30KVSBI-70/35,70,35-70
,E30KVSBI-80/40,80/100,40-80
,E30KVSBI-100/50,100/120,50-100
,E30KVSBI-120/60,150,60-120
,E30KVSBI-150/75,180,75-150
