#,Заказной код,Параметр:Заказной код:Резьба,Параметр:Заказной код:O.D.
,ECGW-M12B(BG07),M12?1.5,12.0
,ECGW-M16B(BG10),M16?1.5,16.0
,ECGW-M16B(BG12),M16?1.5,16.0
,ECGW-M18B(BG12),M18?1.5,18.0
,ECGW-M20B(ECG-12),M20?1.5,20.0
,ECGW-M20B(ECG-15),M20?1.5,20.0
,ECGW-M20B(ECG-17),M20?1.5,20.0
,ECGW-M22B(BG17),M22?1.5,22.0
,ECGW-M24B(BG17),M24?1.5,24.0
,ECGW-M25B(BG17),M25?1.5,25.0
,ECGW-M25B(BG23),M25?1.5,25.0
,ECGW-M32B(BG29),M32?1.5,32.0
,ECGW-M40B(BG36),M40?1.5,40.0
,ECGW-M50B(BG48),M50?1.5,50.0
,ECGW-M63B(BG48),M63?1.5,63.0
,ECGW-PG7B(BG07),PG7,12.5
,ECGW-PG9B(BG10),PG9,15.2
,ECGW-PG11B(BG12),PG11,18.6
,ECGW-PG13.5B(BG15),PG13.5,20.4
,ECGW-PG13.5B(BG17),PG13.5,20.4
,ECGW-PG16B(BG17),PG16,22.5
,ECGW-PG21B(BG23),PG21,28.3
,ECGW-PG29B(BG29),PG29,37.0
,ECGW-PG36B(BG36),PG36,47.0
,ECGW-PG42B(BG48),PG42,54.0
,ECGW-PG48B(BG48),PG48,59.3
,ECGW1-M12B(BG07),M12?1.5,12.0
,ECGW1-M16B(BG10),M16?1.5,16.0
,ECGW1-M16B(BG12),M16?1.5,16.0
,ECGW1-M18B(BG12),M18?1.5,18.0
,ECGW1-M20B(BG12),M20?1.5,20.0
,ECGW1-M20B(BG15),M20?1.5,20.0
,ECGW1-M20B(BG17),M20?1.5,20.0
,ECGW1-M22B(BG17),M22?1.5,22.0
,ECGW1-M24B(BG17),M24?1.5,24.0
,ECGW1-M25B(BG17),M25?1.5,25.0
,ECGW1-M25B(BG23),M25?1.5,25.0
,ECGW1-M32B(BG29),M32?1.5,32.0
,ECGW1-M40B(BG36),M40?1.5,40.0
,ECGW1-M50B(BG48),M50?1.5,50.0
,ECGW1-M63B(BG48),M63?1.5,63.0
,ECGW1-PG7B(BG07),PG7,12.5
,ECGW1-PG9B(BG10),PG9,15.2
,ECGW1-PG11B(BG12),PG11,18.6
,ECGW1-PG13.5B(BG15),PG13.5,20.4
,ECGW1-PG13.5B(BG17),PG13.5,20.4
,ECGW1-PG16B(BG17),PG16,22.5
,ECGW1-PG21B(BG23),PG21,28.3
,ECGW1-PG29B(BG29),PG29,37.0
,ECGW1-PG36B(BG36),PG36,47.0
,ECGW1-PG42B(BG48),PG42,54.0
,ECGW1-PG48B(BG48),PG48,59.3
