#,Заказной код,Параметр:Заказной код:Резьба,"Параметр:Заказной код:O.D., мм"
,EOBW-04G,"G3/8""","16,5"
,EOBW-05G,"G1/2""","21,3"
,EOBW-06G,"G3/4""","26,6"
,EOBW-08G,"G1""","33,4"
,EOBW-10G,G1,"42,1"
,EOBW-12G,G1,"47,8"
,EOBW-16G,"G2""","59,6"
,EOBW-20G,G2,"75,1"
,EOBW-24G,"G3""","87,8"
,EOBW-32G,"G4""",113
,EOBW-04M,M16*1.5,16
,EOBW-05M,M20*1.5,20
,EOBW-06M,M25*1.5,25
,EOBW-08M,M32*1.5,32
,EOBW-10M,M40*1.5,40
,EOBW-12M,M50*1.5,50
,EOBW-16M,M63*1.5,63
,EOBW-04P,PG11,"18,6"
,EOBW-05P,PG13.5,"20,4"
,EOBW-06P,PG21,"28,3"
,EOBW-08P,PG29,37
,EOBW-10P,PG29,37
,EOBW-12P,PG36,47
,EOBW-16P,PG48,"59,3"
