#,Заказной код,"Параметр:Заказной код:Длина, мм","Параметр:Заказной код:Ширина, мм"
,ECGY2?10.0/13.0B,63.0,36.0
,ECGY2?13.0/15.8B,66.0,45.0
,ECGY2?15.8/21.2B,75.0,52.0
,ECGY2?15.8/28.5B,75.0,52.0
,ECGY2?21.2/28.5B,68.0,60.5
,ECGY2?28.5/34.5B,86.0,77.0
,ECGY2?34.5/42.5B,98.5,89.0
,ECGY2?42.5/54.5,116.0,109.5
,ECGY2?10.0/13.0NB,68.0,36.0
,ECGY2?13.0/15.8NB,71,42
,"ECGY2x15,8/21,2NB",75.0,52.0
,"ECGY2x15,8/28,5NB",75.0,52.0
,"ECGY2x21,2/28,5NB",76.5,63.0
,ECGY2?28.5/34.5NB,80.0,80.0
,ECGY2?34.5/42.5NB,98.0,94.0
,ECGY2?42.5/54.5NB,110.0,110.0
,ECGY3?10.0NB,50,37
,ECGY3?13.0NB,70,42
,ECGY3?15.8NB,80,48
,ECGY3?18.5NB,75,56
,ECGY3?21.2NB,-,-
