#,Заказной код,Параметр:Заказной код:Ширина,Параметр:Заказной код:Предел
,EIST-0.8,"0,8",0.22±0.10
,EIST-1,1,0.28±0.10
,EIST-1.5,"1,5",0.32±0.10
,EIST-2,2,0.35±0.10
,EIST-2.5,"2,5",0.38±0.10
,EIST-3,3,0.40±0.10
,"EIST-3,5","3,5",0.42±0.10
,EIST-4,4,0.45±0.10
,EIST-4.5,"4,5",0.50±0.10
,EIST-5,5,0.55±0.10
,"EIST-5,5","5,5",0.55±0.10
,EIST-6,6,0.55±0.10
,EIST-7,7,0.55±0.10
,EIST-8,8,0.60±0.10
,EIST-9,9,0.60±0.10
,EIST-10,10,0.60±0.10
,EIST-11,11,0.60±0.10
,EIST-12,12,0.60±0.10
,EIST-13,13,0.65±0.10
,EIST-14,14,0.65±0.10
,EIST-15,15,0.70±0.10
,EIST-16,16,0.70±0.10
,EIST-17,17,0.70±0.10
,EIST-18,18,0.80±0.15
,EIST-20,20,0.80±0.15
,EIST-22,22,0.80±0.15
,EIST-25,25,0.90±0.15
,EIST-28,28,0.90±0.15
,EIST-30,30,0.95±0.15
,EIST-35,35,1.00±0.15
,EIST-40,40,1.00±0.15
,EIST-45,45,1.00±0.15
,EIST-50,50,1.00±0.15
,EIST-60,60,1.30±0.20
,EIST-70,70,1.30±0.20
,EIST-80,80,1.46±0.20
,EIST-90,90,1.46±0.20
,EIST-100,100,1.46±0.20
,EIST-120,120,1.56±0.20
,EIST-150,150,1.56±0.20
,EIST-180,180,1.56±0.20
,EICB-1.0,1,0.7-1.0
,EICB-1.5,"1,5",0.9-1.4
,EICB-2.0,2,1.1-1.8
,EICB-2.5,"2,5",1.4-2.3
,EICB-3.0,3,1.6-2.7
,"EICB-3,5","3,5",1.9-3.2
,EICB-4.0,4,2.1-3.6
,EICB-4.5,"4,5",2.4-4.0
,"EICB-5,5",5,2.6-4.5
,EICB-6.0,6,3.1-5.4
,EICB-7.0,7,3.7-6.3
,EICB-8,8,4.2-7.2
,EICB-9.0,9,4.7-8.0
,EICB-10,10,5.2-9.0
,EICB-11,11,5.7-10.0
,EICB-12,12,6.2-11
,EICB-13,13,6.7-12
,EICB-14,14,7.3-13
,EICB-15,15,7.8-14
,EICB-16,16,8.3-15
,EICB-17,17,8.8-16
,EICB-18,18,9.3-17
,EICB-20,20,10.5-19
,EICB-22,22,11.5-20.5
,EICB-25,25,13-24
