#,Заказной код,"Параметр:Заказной код:Ширина, мм",Параметр:Заказной код:Высота
,EEB2-BL8325,42,76
,EEB2-BL8425,42,76
,EEB2-BW8365,42,76
,EEB2-BW8465,42,76
