#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение
,TA-B-1-1-1,15A,"NPT 1/2"""
,TA-B-2-1-1,20A,"NPT 3/4"""
,TA-B-3-1-1,25A,"NPT 1"""
,TA-B-4-1-1,40A,"NPT 1 1/2"""
,TA-B-5-1-1,50A,"NPT 2"""
