#,Заказной код,Параметр:Заказной код:Расход вкл.,Параметр:Заказной код:Материал,Параметр:Заказной код:Подсоединение
,FS40R-S-1,610-630 л/час,SS316,"FNPT 1/2"""
,FS40R-S-2,610-630 л/час,SS316,"G 1/2"""
,FS40R-S-3,790-810 л/час,SS316,"FNPT 3/4"""
,FS40R-S-4,790-810 л/час,SS316,"G 3/4"""
