#,Заказной код,Параметр:Заказной код:Расход вкл.,Параметр:Заказной код:Ду трубы (мм),Параметр:Заказной код:Подсоединение
,FS-30RS-25,26-45 л/мин,25,"NPT 1"""
,FS-30RS-32,42-70 л/мин,32,"NPT 1"""
,FS-30RS-38,54-97 л/мин,38,"NPT 1"""
,FS-30RS-50,80-137 л/мин,50,"NPT 1"""
,FS-30RS-64,100-176 л/мин,64,"NPT 1"""
,FS-30RS-76,125-218 л/мин,76,"NPT 1"""
,FS-30RS-100,166-307 л/мин,100,"NPT 1"""
,FS-30RS-150,330-690 л/мин,150,"NPT 1"""
,FS-30RS-200,847-1715 л/мин,200,"NPT 1"""
