#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление,Параметр:Заказной код:Зарядное устрйство
,TMFC-02-A-1-0-1-A-2,0-200 нл/мин,Без дисплея,0~5 VDC,Ручное,Нет
,TMFC-00-A-1-0-1-B-1,0-100 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
,TMFC-01-A-1-0-1-B-1,0-150 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
,TMFC-02-A-1-0-1-B-1,0-200 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
,TMFC-00-A-1-0-1-B-2,0-100 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Нет
,TMFC-01-A-1-0-1-B-2,0-150 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Нет
,TMFC-02-A-1-0-1-B-2,0-200 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Нет
,TMFC-00-A-1-0-2-A-1,0-100 нл/мин,Без дисплея,0~5 VDC,Ручное,Есть
,TMFC-01-A-1-0-2-A-1,0-150 нл/мин,Без дисплея,0~5 VDC,Ручное,Есть
,TMFC-02-A-1-0-2-A-1,0-200 нл/мин,Без дисплея,0~5 VDC,Ручное,Есть
,TMFC-00-A-1-0-2-A-2,0-100 нл/мин,Без дисплея,0~5 VDC,Ручное,Нет
,TMFC-01-A-1-0-2-A-2,0-150 нл/мин,Без дисплея,0~5 VDC,Ручное,Нет
,TMFC-02-A-1-0-2-A-2,0-200 нл/мин,Без дисплея,0~5 VDC,Ручное,Нет
,TMFC-00-A-1-0-2-B-1,0-100 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
,TMFC-01-A-1-0-2-B-1,0-150 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
,TMFC-02-A-1-0-2-B-1,0-200 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
,TMFC-00-A-1-0-2-B-2,0-100 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Нет
,TMFC-01-A-1-0-2-B-2,0-150 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Нет
,TMFC-02-A-1-0-2-B-2,0-200 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Нет
