#,Заказной код,Параметр:Заказной код:Тип,Параметр:Заказной код:Материал,Параметр:Заказной код:Ду,Параметр:Заказной код:Резьба
,FTA-W-B-1-1-N,С лопаткой,SS316,15A,"NPT 1/2"""
,FTA-W-B-2-1-N,С лопаткой,SS316,20A,"NPT 3/4"""
,FTA-W-B-3-1-N,С лопаткой,SS316,25A,"NPT 1"""
,FTA-W-B-4-1-N,С лопаткой,SS316,32A,"NPT 1 1/4"""
,FTA-W-B-5-1-N,С лопаткой,SS316,40A,"NPT 1 1/2"""
,FTA-W-B-6-1-N,С лопаткой,SS316,50A,"NPT 2"""
,FTA-N-B-1-1-N,Без лопатки,SS316,15A,"NPT 1/2"""
,FTA-N-B-2-1-N,Без лопатки,SS316,20A,"NPT 3/4"""
,FTA-N-B-3-1-N,Без лопатки,SS316,25A,"NPT 1"""
,FTA-N-B-4-1-N,Без лопатки,SS316,32A,"NPT 1 1/4"""
,FTA-N-B-5-1-N,Без лопатки,SS316,40A,"NPT 1 1/2"""
,FTA-N-B-6-1-N,Без лопатки,SS316,50A,"NPT 2"""
