#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Вых.сигнал
,TAF-00-A-1-0-1-1,0-10 нсм³/мин,"FNPT 1/4""",0-5 VDC
,TAF-01-A-1-0-1-1,0-20 нсм³/мин,"FNPT 1/4""",0-5 VDC
,TAF-02-A-1-0-1-1,0-50 нсм³/мин,"FNPT 1/4""",0-5 VDC
,TAF-03-A-1-0-1-1,0-100 нсм³/мин,"FNPT 1/4""",0-5 VDC
,TAF-04-A-1-0-1-1,0-200 нсм³/мин,"FNPT 1/4""",0-5 VDC
,TAF-05-A-1-0-1-1,0-500 нсм³/мин,"FNPT 1/4""",0-5 VDC
,TAF-06-A-1-0-1-1,0-1 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-07-A-1-0-1-1,0-2 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-08-A-1-0-1-1,0-5 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-09-A-1-0-1-1,0-10 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-10-A-1-0-1-1,0-15 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-11-A-1-0-1-1,0-20 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-12-A-1-0-1-1,0-25 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-13-A-1-0-1-1,0-30 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-14-A-1-0-1-1,0-35 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-15-A-1-0-1-1,0-40 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-16-A-1-0-1-1,0-45 нл/мин,"FNPT 1/4""",0-5 VDC
,TAF-17-A-1-0-1-1,0-50 нл/мин,"FNPT 1/4""",0-5 VDC
