#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение
,FAC-201,"1-7,5 л/мин","NPT 3/8"" наруж."
,FAC-202,2-20 л/мин,"NPT 1/2"" наруж."
,FAC-203,4-40 л/мин,"NPT 3/4"" наруж."
