#,Заказной код,Параметр:Заказной код:Газ,Параметр:Заказной код:Расход,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход
,FM1P-0-14-R4G-HOS-O2,Кислород,0-14 л/мин,"Ниппель с накидной гайкой G1/4"" (FNPT 1/8"")","Наружная G1/4"" с гайкой и ёлочкой"
,FM1P-0-25-R4G-HOS-O2,Кислород,0-25 л/мин,"Ниппель с накидной гайкой G1/4"" (FNPT 1/8"")","Наружная G1/4"" с гайкой и ёлочкой"
,FM1P-0-40-R4G-HOS-O2,Кислород,0-40 л/мин,"Ниппель с накидной гайкой G1/4"" (FNPT 1/8"")","Наружная G1/4"" с гайкой и ёлочкой"
,FM1P-0-14-R4G-HOS-AC,Аргон/Углекислота,0-14 л/мин,"Ниппель с накидной гайкой G1/4"" (FNPT 1/8"")","Наружная G1/4"" с гайкой и ёлочкой"
,FM1P-0-25-R4G-HOS-AC,Аргон/Углекислота,0-25 л/мин,"Ниппель с накидной гайкой G1/4"" (FNPT 1/8"")","Наружная G1/4"" с гайкой и ёлочкой"
,FM1P-0-40-R4G-HOS-AC,Аргон/Углекислота,0-40 л/мин,"Ниппель с накидной гайкой G1/4"" (FNPT 1/8"")","Наружная G1/4"" с гайкой и ёлочкой"
