#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,
,FAC301-1-A-15,2-20 л/мин,"NPT 1"" внутр.",
,FAC301-1-A-16,"2,5-25 л/мин","NPT 1"" внутр.",
,FAC301-1-A-17,5-50 л/мин,"NPT 1"" внутр.",
,FAC301-1-A-18,10-90 л/мин,"NPT 1"" внутр.",
,FAC301-1-A-19,"0,1-1 м³/час","NPT 1"" внутр.",
,FAC301-1-A-20,"0,3-3 м³/час","NPT 1"" внутр.",
,FAC301-1-A-21,"0,5-5 м³/час","NPT 1"" внутр.",
,FAC302-1-A-15,2-20 л/мин,"NPT 1"" внутр.",
,FAC302-1-A-16,"2,5-25 л/мин","NPT 1"" внутр.",
,FAC302-1-A-17,5-50 л/мин,"NPT 1"" внутр.",
,FAC302-1-A-18,10-90 л/мин,"NPT 1"" внутр.",
,FAC302-1-A-19,"0,1-1 м³/час","NPT 1"" внутр.",
,FAC302-1-A-20,"0,3-3 м³/час","NPT 1"" внутр.",
,FAC302-1-A-21,"0,5-5 м³/час","NPT 1"" внутр.",
