#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Поплавок
,"RM-0,03~0,3-LH-Water-P-G1","0,03-0,3 л/час","POM, Пластик"
,"RM-0,08~0,8-LH-Water-P-G3","0,08-0,8 л/час","POM, Пластик"
,"RM-0,1~1-LH-Water-P-G4","0,1-1 л/час","POM, Пластик"
,"RM-0,15~1.5-LH-Water-G-G1","0,15-1,5 л/час",Стекло
,"RM-0,3~3-LH-Water-G-G3","0,3-3 л/час",Стекло
,"RM-0,4~4-LH-Water-G-G4","0,4-4 л/час",Стекло
,RM-1.5~15-LH-Water-G-G7,"1,5-15 л/час",Стекло
,"RM-0,6~6-LH-Water-SS-G3","0,6-6 л/час",SS316
,"RM-0,8~8-LH-Water-SS-G4","0,8-8 л/час",SS316
,RM-3~30-LH-Water-SS-G7,3-30 л/час,SS316
