#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,VF100-A1(1)-0-B-BT,6-60 л/час,"NPT 1/2""",Без контактов
,VF100-A1(2)-0-B-BT,14-140 л/час,"NPT 1/2""",Без контактов
,VF100-A1(3)-0-B-BT,25-250 л/час,"NPT 1/2""",Без контактов
,VF100-A1(4)-0-B-BT,36-360 л/час,"NPT 1/2""",Без контактов
,VF100-A2(5)-0-B-BT,"0,1-1 л/мин","NPT 1/2""",Без контактов
,VF100-A2(6)-0-B-BT,"0,2-2 л/мин","NPT 1/2""",Без контактов
,VF100-A2(7)-0-B-BT,"0,4-4 л/мин","NPT 1/2""",Без контактов
,VF100-A2(8)-0-B-BT,"0,6-6 л/мин","NPT 1/2""",Без контактов
,VF100-A2(9)-0-B-BT,1-10 л/мин,"NPT 1/2""",Без контактов
,VF100-A1(1)-1R-B-BT,6-60 л/час,"NPT 1/2""",Один контакт
,VF100-A1(2)-1R-B-BT,14-140 л/час,"NPT 1/2""",Один контакт
,VF100-A1(3)-1R-B-BT,25-250 л/час,"NPT 1/2""",Один контакт
,VF100-A1(4)-1R-B-BT,36-360 л/час,"NPT 1/2""",Один контакт
,VF100-A2(5)-1R-B-BT,"0,1-1 л/мин","NPT 1/2""",Один контакт
,VF100-A2(6)-1R-B-BT,"0,2-2 л/мин","NPT 1/2""",Один контакт
,VF100-A2(7)-1R-B-BT,"0,4-4 л/мин","NPT 1/2""",Один контакт
,VF100-A2(8)-1R-B-BT,"0,6-6 л/мин","NPT 1/2""",Один контакт
,VF100-A2(9)-1R-B-BT,1-10 л/мин,"NPT 1/2""",Один контакт
,VF100-A1(1)-2R-B-BT,6-60 л/час,"NPT 1/2""",Два контакта
,VF100-A1(2)-2R-B-BT,14-140 л/час,"NPT 1/2""",Два контакта
,VF100-A1(3)-2R-B-BT,25-250 л/час,"NPT 1/2""",Два контакта
,VF100-A1(4)-2R-B-BT,36-360 л/час,"NPT 1/2""",Два контакта
,VF100-A2(5)-2R-B-BT,"0,1-1 л/мин","NPT 1/2""",Два контакта
,VF100-A2(6)-2R-B-BT,"0,2-2 л/мин","NPT 1/2""",Два контакта
,VF100-A2(7)-2R-B-BT,"0,4-4 л/мин","NPT 1/2""",Два контакта
,VF100-A2(8)-2R-B-BT,"0,6-6 л/мин","NPT 1/2""",Два контакта
,VF100-A2(9)-2R-B-BT,1-10 л/мин,"NPT 1/2""",Два контакта
