#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение
,FBC-N-G-A-300-C,60-300 нсм³/мин,"NPT 1/8"""
,FBC-N-P-A-450-C,80-450 нсм³/мин,"NPT 1/8"""
,FBC-N-G-A-1000-C,100-1000 нсм³/мин,"NPT 1/8"""
,FBC-N-G-A-1-LM,0.1-1 нл/мин,"NPT 1/8"""
,FBC-N-S-A-2-LM,0.2-2.0 нл/мин,"NPT 1/8"""
,FBC-N-S-A-5-LM,0.5-5 нл/мин,"NPT 1/8"""
,FBC-N-S-A-10-LM,1-10 нл/мин,"NPT 1/8"""
,FBC-N-P-A-20-LM,2-20 нл/мин,"NPT 1/8"""
,FBC-N-S-A-25-LM,2.5-25 нл/мин,"NPT 1/8"""
,FBC-N-S-A-40-LM,4-40 нл/мин,"NPT 1/8"""
,FBC-N-S-A-50-LM,5-50 нл/мин,"NPT 1/8"""
,FBC-N-S-A-80-LM,8-80 нл/мин,"NPT 1/8"""
,FBC-N-S-A-100-LM,10-100 нл/мин,"NPT 1/8"""
,FBC-N-S-A-100-LH,10-100 нл/час,"NPT 1/8"""
,FBC-N-P-A-200-LH,20-200 нл/час,"NPT 1/8"""
,FВC-N-S-A-300-LH,30-300 нл/час,"NPT 1/8"""
,FВC-N-S-A-500-LH,50-500 нл/час,"NPT 1/8"""
,FВC-N-S-A-600-LH,60-600 нл/час,"NPT 1/8"""
,FBC-N-S-A-800-LH,80-800 нл/час,"NPT 1/8"""
,FBC-N-S-A-1.5-MH,0.15-1.5 нм³/час,"NPT 1/8"""
,FBC-N-S-A-3-MH,0.3-3 нм³/час,"NPT 1/8"""
,FBC-N-S-A-6-MH,0.6-6 нм³/час,"NPT 1/8"""
