#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,SF200-A-0-PC-(1)-B-BT,1-4 л/мин,"FNPT 1/2""",Без контакта
,SF200-B-0-PC-(1)-B-BT,1-10 л/мин,"FNPT 1/2""",Без контакта
,SF200-C-0-PC-(1)-B-BT,2-20 л/мин,"FNPT 1/2""",Без контакта
,SF200-D-0-PC-(1)-B-BT,4-40 л/мин,"FNPT 1/2""",Без контакта
,SF200-E-0-PC-(1)-B-BT,3-30 л/мин,"FNPT 1/2""",Без контакта
,SF200-F-0-PC-(1)-B-BT,5-50 л/мин,"FNPT 1/2""",Без контакта
,SF200-A-1R-PC-(1)-B-BT,1-4 л/мин,"FNPT 1/2""",один контакт
,SF200-B-1R-PC-(1)-B-BT,1-10 л/мин,"FNPT 1/2""",один контакт
,SF200-C-1R-PC-(1)-B-BT,2-20 л/мин,"FNPT 1/2""",один контакт
,SF200-D-1R-PC-(1)-B-BT,4-40 л/мин,"FNPT 1/2""",один контакт
,SF200-E-1R-PC-(1)-B-BT,3-30 л/мин,"FNPT 1/2""",один контакт
,SF200-F-1R-PC-(1)-B-BT,5-50 л/мин,"FNPT 1/2""",один контакт
,SF200-A-0-PC-(1)-B-TB,1-4 л/мин,"FNPT 1/2""",Без контакта
,SF200-B-0-PC-(1)-B-TB,1-10 л/мин,"FNPT 1/2""",Без контакта
,SF200-C-0-PC-(1)-B-TB,2-20 л/мин,"FNPT 1/2""",Без контакта
,SF200-D-0-PC-(1)-B-TB,4-40 л/мин,"FNPT 1/2""",Без контакта
,SF200-E-0-PC-(1)-B-TB,3-30 л/мин,"FNPT 1/2""",Без контакта
,SF200-F-0-PC-(1)-B-TB,5-50 л/мин,"FNPT 1/2""",Без контакта
,SF200-A-1R-PC-(1)-B-TB,1-4 л/мин,"FNPT 1/2""",один контакт
,SF200-B-1R-PC-(1)-B-TB,1-10 л/мин,"FNPT 1/2""",один контакт
,SF200-C-1R-PC-(1)-B-TB,2-20 л/мин,"FNPT 1/2""",один контакт
,SF200-D-1R-PC-(1)-B-TB,4-40 л/мин,"FNPT 1/2""",один контакт
,SF200-E-1R-PC-(1)-B-TB,3-30 л/мин,"FNPT 1/2""",один контакт
,SF200-F-1R-PC-(1)-B-TB,5-50 л/мин,"FNPT 1/2""",один контакт
,SF200-A-0-PC-(1)-B-RL,1-4 л/мин,"FNPT 1/2""",Без контакта
,SF200-B-0-PC-(1)-B-RL,1-10 л/мин,"FNPT 1/2""",Без контакта
,SF200-C-0-PC-(1)-B-RL,2-20 л/мин,"FNPT 1/2""",Без контакта
,SF200-D-0-PC-(1)-B-RL,4-40 л/мин,"FNPT 1/2""",Без контакта
,SF200-E-0-PC-(1)-B-RL,3-30 л/мин,"FNPT 1/2""",Без контакта
,SF200-F-0-PC-(1)-B-RL,5-50 л/мин,"FNPT 1/2""",Без контакта
,SF200-A-1R-PC-(1)-B-RL,1-4 л/мин,"FNPT 1/2""",один контакт
,SF200-B-1R-PC-(1)-B-RL,1-10 л/мин,"FNPT 1/2""",один контакт
,SF200-C-1R-PC-(1)-B-RL,2-20 л/мин,"FNPT 1/2""",один контакт
,SF200-D-1R-PC-(1)-B-RL,4-40 л/мин,"FNPT 1/2""",один контакт
,SF200-E-1R-PC-(1)-B-RL,3-30 л/мин,"FNPT 1/2""",один контакт
,SF200-F-1R-PC-(1)-B-RL,5-50 л/мин,"FNPT 1/2""",один контакт
,SF200-A-0-PC-(1)-B-LR,1-4 л/мин,"FNPT 1/2""",Без контакта
,SF200-B-0-PC-(1)-B-LR,1-10 л/мин,"FNPT 1/2""",Без контакта
,SF200-C-0-PC-(1)-B-LR,2-20 л/мин,"FNPT 1/2""",Без контакта
,SF200-D-0-PC-(1)-B-LR,4-40 л/мин,"FNPT 1/2""",Без контакта
,SF200-E-0-PC-(1)-B-LR,3-30 л/мин,"FNPT 1/2""",Без контакта
,SF200-F-0-PC-(1)-B-LR,5-50 л/мин,"FNPT 1/2""",Без контакта
,SF200-A-1R-PC-(1)-B-LR,1-4 л/мин,"FNPT 1/2""",один контакт
,SF200-B-1R-PC-(1)-B-LR,1-10 л/мин,"FNPT 1/2""",один контакт
,SF200-C-1R-PC-(1)-B-LR,2-20 л/мин,"FNPT 1/2""",один контакт
,SF200-D-1R-PC-(1)-B-LR,4-40 л/мин,"FNPT 1/2""",один контакт
,SF200-E-1R-PC-(1)-B-LR,3-30 л/мин,"FNPT 1/2""",один контакт
,SF200-F-1R-PC-(1)-B-LR,5-50 л/мин,"FNPT 1/2""",один контакт
