#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Ед. Изм.,Параметр:Заказной код:Материал,Параметр:Заказной код:Направление
,FS-1-1-2-1-A-R,2-10,м3/час,SS316,Справа-налево
,FS-1-1-2-1-B-R,2-18,м3/час,SS316,Справа-налево
,FS-1-1-2-1-A-L,2-10,м3/час,SS316,Слева-направо
,FS-1-1-2-1-B-L,2-18,м3/час,SS316,Слева-направо
