#,Заказной код,Параметр:Заказной код:Газ,Параметр:Заказной код:Расход,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход
,FM2P-0-14-R4G-HOS-A/C-R,"аргон/
углекислоту",0-14л/мин,"Внутр. G1/4""*","Наруж. G1/4"" (ёлочка)*"
,FM2P-0-14-R4G-HOS-O2-R,на кислород,0-14л/мин,"Внутр. G1/4""*","Наруж. G1/4"" (ёлочка)*"
,FM2P-0-25-R4G-HOS-A/C-R,"аргон/
углекислоту",0-25л/мин,"Внутр. G1/4""*","Наруж. G1/4"" (ёлочка)*"
,FM2P-0-25-R4G-HOS-O2-R,на кислород,0-25л/мин,"Внутр. G1/4""*","Наруж. G1/4"" (ёлочка)*"
,FM2P-0-40-R4G-HOS-A/C-R,"на аргон/
углекислоту",0-40л/мин,"Внутр. G1/4""*","Наруж. G1/4"" (ёлочка)*"
,FM2P-0-40-R4G-HOS-O2-R,на кислород,0-40л/мин,"Внутр. G1/4""*","Наруж. G1/4"" (ёлочка)*"
