#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление,Параметр:Заказной код:Блок питания
,ULFC-00-A-1-0-1-A-1-1,0-10 нсм³/мин,0-5 VDC,Ручное,Есть
,ULFC-00-A-1-0-1-A-1-2,0-10 нсм³/мин,0-5 VDC,Ручное,Нет
,ULFC-00-A-1-0-1-B-1-1,0-10 нсм³/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-00-A-1-0-1-B-1-2,0-10 нсм³/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-00-A-1-0-2-A-1-1,0-10 нсм³/мин,4-20 мА,Ручное,Есть
,ULFC-00-A-2-0-1-A-1-2,0-10 нсм³/мин,4-20 мА,Ручное,Нет
,ULFC-00-A-2-0-1-B-1-1,0-10 нсм³/мин,4-20 мА,0-5 VDC,Есть
,ULFC-00-A-2-0-1-B-1-2,0-10 нсм³/мин,4-20 мА,0-5 VDC,Нет
,ULFC-01-A-1-0-1-A-1-1,0-20 нсм³/мин,0-5 VDC,Ручное,Есть
,ULFC-01-A-1-0-1-A-1-2,0-20 нсм³/мин,0-5 VDC,Ручное,Нет
,ULFC-01-A-1-0-1-B-1-1,0-20 нсм³/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-01-A-1-0-1-B-1-2,0-20 нсм³/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-01-A-1-0-2-A-1-1,0-20 нсм³/мин,4-20 мА,Ручное,Есть
,ULFC-01-A-2-0-1-A-1-2,0-20 нсм³/мин,4-20 мА,Ручное,Нет
,ULFC-01-A-2-0-1-B-1-1,0-20 нсм³/мин,4-20 мА,0-5 VDC,Есть
,ULFC-01-A-2-0-1-B-1-2,0-20 нсм³/мин,4-20 мА,0-5 VDC,Нет
,ULFC-02-A-1-0-1-A-1-1,0-50 нсм³/мин,0-5 VDC,Ручное,Есть
,ULFC-02-A-1-0-1-A-1-2,0-50 нсм³/мин,0-5 VDC,Ручное,Нет
,ULFC-02-A-1-0-1-B-1-1,0-50 нсм³/мин,0-5 VDC,0-5 VDC,Есть
