#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Корпус,Параметр:Заказной код:Среда,Параметр:Заказной код:Подсоединение
,DF-2-S(001)-A-1-B-1,"0,25-1,3 л/мин",AL,Вода,"NPT 1/4"""
,DF-2-S(002)-A-1-B-1,"0,7-3 л/мин",AL,Вода,"NPT 1/4"""
,DF-2-S(003)-A-1-B-1,"0,8-4 л/мин",AL,Вода,"NPT 1/4"""
,DF-2-S(004)-A-1-B-1,"1,8-9 л/мин",AL,Вода,"NPT 1/4"""
,DF-2-S(005)-A-1-B-1,"2,6-13 л/мин",AL,Вода,"NPT 1/4"""
,DF-2-S(006)-A-1-B-1,4-20 л/мин,AL,Вода,"NPT 1/4"""
,DF-2-S(007)-A-1-B-1,15-80 л/час,AL,Вода,"NPT 1/4"""
,DF-2-S(008)-A-1-B-1,40-200 л/час,AL,Вода,"NPT 1/4"""
,DF-2-S(009)-A-1-B-1,50-250 л/час,AL,Вода,"NPT 1/4"""
,DF-2-S(010)-A-1-B-1,110-550 л/час,AL,Вода,"NPT 1/4"""
,DF-2-S(011)-A-1-B-1,160-800 л/час,AL,Вода,"NPT 1/4"""
,DF-2-S(012)-A-1-B-1,250-1200 л/час,AL,Вода,"NPT 1/4"""
,DF-2-S(013)-A-1-B-1,6-30 нл/мин,AL,Воздух,"NPT 1/4"""
,DF-2-S(014)-A-1-B-1,15-80 нл/мин,AL,Воздух,"NPT 1/4"""
,DF-2-S(015)-A-1-B-1,20-110 нл/мин,AL,Воздух,"NPT 1/4"""
,DF-2-S(016)-A-1-B-1,40-220 нл/мин,AL,Воздух,"NPT 1/4"""
,DF-2-S(017)-A-1-B-1,60-320 нл/мин,AL,Воздух,"NPT 1/4"""
,DF-2-S(018)-A-1-B-1,100-500 нл/мин,AL,Воздух,"NPT 1/4"""
,DF-2-S(019)-A-1-B-1,"0,35-1,7 нм³/час",AL,Воздух,"NPT 1/4"""
,DF-2-S(020)-A-1-B-1,"1-4,7 нм³/час",AL,Воздух,"NPT 1/4"""
,DF-2-S(021)-A-1-B-1,"1,3-6,6 нм³/час",AL,Воздух,"NPT 1/4"""
,DF-2-S(023)-A-1-B-1,"2,6-13 нм³/час",AL,Воздух,"NPT 1/4"""
,DF-2-S(024)-A-1-B-1,4-20 нм³/час,AL,Воздух,"NPT 1/4"""
,DF-2-S(025)-A-1-B-1,6-30 нм³/час,AL,Воздух,"NPT 1/4"""
