#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,DS-2-A-1(1)-0-B-BT,20-180 л/час,"NPT 3/8"" внутр.",без контакта
,DS-2-A-1(2)-0-B-BT,25-250 л/час,"NPT 3/8"" внутр.",без контакта
,DS-2-A-1(3)-0-B-BT,30-300 л/час,"NPT 3/8"" внутр.",без контакта
,DS-2-A-1(4)-0-B-BT,50-500 л/час,"NPT 3/8"" внутр.",без контакта
,DS-2-A-2(5)-0-B-BT,"0,35-3 л/мин","NPT 3/8"" внутр.",без контакта
,DS-2-A-2(6)-0-B-BT,"0,4-4 л/мин","NPT 3/8"" внутр.",без контакта
,DS-2-A-2(7)-0-B-BT,"0,5-5 л/мин","NPT 3/8"" внутр.",без контакта
,DS-2-A-2(8)-0-B-BT,"0,8-8 л/мин","NPT 3/8"" внутр.",без контакта
,DS-2-A-1(1)-1R-B-BT,20-180 л/час,"NPT 3/8"" внутр.",один контакт
,DS-2-A-1(2)-1R-B-BT,25-250 л/час,"NPT 3/8"" внутр.",один контакт
,DS-2-A-1(3)-1R-B-BT,30-300 л/час,"NPT 3/8"" внутр.",один контакт
,DS-2-A-1(4)-1R-B-BT,50-500 л/час,"NPT 3/8"" внутр.",один контакт
,DS-2-A-2(5)-1R-B-BT,"0,35-3 л/мин","NPT 3/8"" внутр.",один контакт
,DS-2-A-2(6)-1R-B-BT,"0,4-4 л/мин","NPT 3/8"" внутр.",один контакт
,DS-2-A-2(7)-1R-B-BT,"0,5-5 л/мин","NPT 3/8"" внутр.",один контакт
,DS-2-A-2(8)-1R-B-BT,"0,8-8 л/мин","NPT 3/8"" внутр.",один контакт
,DS-2-A-1(1)-2R-B-BT,20-180 л/час,"NPT 3/8"" внутр.",два контакта
,DS-2-A-1(2)-2R-B-BT,25-250 л/час,"NPT 3/8"" внутр.",два контакта
,DS-2-A-1(3)-2R-B-BT,30-300 л/час,"NPT 3/8"" внутр.",два контакта
,DS-2-A-1(4)-2R-B-BT,50-500 л/час,"NPT 3/8"" внутр.",два контакта
,DS-2-A-2(5)-2R-B-BT,"0,35-3 л/мин","NPT 3/8"" внутр.",два контакта
,DS-2-A-2(6)-2R-B-BT,"0,4-4 л/мин","NPT 3/8"" внутр.",два контакта
,DS-2-A-2(7)-2R-B-BT,"0,5-5 л/мин","NPT 3/8"" внутр.",два контакта
,DS-2-A-2(8)-2R-B-BT,"0,8-8 л/мин","NPT 3/8"" внутр.",два контакта
