#,Заказной код,Параметр:Заказной код:Тип,Параметр:Заказной код:Ду,Параметр:Заказной код:Фланец,Параметр:Заказной код:Уплотн. Кольцо,Параметр:Заказной код:Шкала
,FA-W-1-1-3-1-N,С лопаткой,15A,DIN PN10,Тефлон,нет
,FA-W-1-1-4-1-N,С лопаткой,15A,DIN PN16,Тефлон,нет
,FA-W-1-1-3-2-N,С лопаткой,15A,DIN PN10,Гортекс,нет
,FA-W-1-1-4-2-N,С лопаткой,15A,DIN PN16,Гортекс,нет
,FA-N-1-1-3-1-N,Без лопатки,15A,DIN PN10,Тефлон,нет
,FA-N-1-1-4-1-N,Без лопатки,15A,DIN PN16,Тефлон,нет
,FA-N-1-1-3-2-N,Без лопатки,15A,DIN PN10,Гортекс,нет
,FA-N-1-1-4-2-N,Без лопатки,15A,DIN PN16,Гортекс,нет
,FA-W-1-2-3-1-N,С лопаткой,20A,DIN PN10,Тефлон,нет
,FA-W-1-2-4-1-N,С лопаткой,20A,DIN PN16,Тефлон,нет
,FA-W-1-2-3-2-N,С лопаткой,20A,DIN PN10,Гортекс,нет
,FA-W-1-2-4-2-N,С лопаткой,20A,DIN PN16,Гортекс,нет
,FA-N-1-2-3-1-N,Без лопатки,20A,DIN PN10,Тефлон,нет
,FA-N-1-2-4-1-N,Без лопатки,20A,DIN PN16,Тефлон,нет
,FA-N-1-2-3-2-N,Без лопатки,20A,DIN PN10,Гортекс,нет
,FA-N-1-2-4-2-N,Без лопатки,20A,DIN PN16,Гортекс,нет
,FA-W-1-3-3-1-N,С лопаткой,25A,DIN PN10,Тефлон,нет
,FA-W-1-3-4-1-N,С лопаткой,25A,DIN PN16,Тефлон,нет
,FA-W-1-3-3-2-N,С лопаткой,25A,DIN PN10,Гортекс,нет
,FA-W-1-3-4-2-N,С лопаткой,25A,DIN PN16,Гортекс,нет
,FA-N-1-3-3-1-N,Без лопатки,25A,DIN PN10,Тефлон,нет
,FA-N-1-3-4-1-N,Без лопатки,25A,DIN PN16,Тефлон,нет
,FA-N-1-3-3-2-N,Без лопатки,25A,DIN PN10,Гортекс,нет
,FA-N-1-3-4-2-N,Без лопатки,25A,DIN PN16,Гортекс,нет
,FA-W-1-4-3-1-N,С лопаткой,40A,DIN PN10,Тефлон,нет
,FA-W-1-4-4-1-N,С лопаткой,40A,DIN PN16,Тефлон,нет
,FA-W-1-4-3-2-N,С лопаткой,40A,DIN PN10,Гортекс,нет
,FA-W-1-4-4-2-N,С лопаткой,40A,DIN PN16,Гортекс,нет
,FA-N-1-4-3-1-N,Без лопатки,40A,DIN PN10,Тефлон,нет
,FA-N-1-4-4-1-N,Без лопатки,40A,DIN PN16,Тефлон,нет
,FA-N-1-4-3-2-N,Без лопатки,40A,DIN PN10,Гортекс,нет
,FA-N-1-4-4-2-N,Без лопатки,40A,DIN PN16,Гортекс,нет
,FA-W-1-5-3-1-N,С лопаткой,50A,DIN PN10,Тефлон,нет
,FA-W-1-5-4-1-N,С лопаткой,50A,DIN PN16,Тефлон,нет
,FA-W-1-5-3-2-N,С лопаткой,50A,DIN PN10,Гортекс,нет
,FA-W-1-5-4-2-N,С лопаткой,50A,DIN PN16,Гортекс,нет
,FA-N-1-5-3-1-N,Без лопатки,50A,DIN PN10,Тефлон,нет
,FA-N-1-5-4-1-N,Без лопатки,50A,DIN PN16,Тефлон,нет
,FA-N-1-5-3-2-N,Без лопатки,50A,DIN PN10,Гортекс,нет
,FA-N-1-5-4-2-N,Без лопатки,50A,DIN PN16,Гортекс,нет
