#,Заказной код,Параметр:Заказной код:Расход вкл.,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:T-образный фитинг
,FS-20R-A(1),380-460 л/ч,"NPT 1/2""",Да
,FS-20R-A(2),550-610 л/ч,"NPT 3/4""",Да
,FS-20R-A(3),930-1010 л/ч,"NPT 1""",Да
,FS-20R-B(4),380-460 л/ч,"NPT 1/2""",Нет
,FS-20R-B(5),550-610 л/ч,"NPT 3/4""",Нет
,FS-20R-B(6),930-1010 л/ч,"NPT 1""",Нет
