#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,VF100-B(10)-0-B-BT,2-20 нл/мин,"NPT 1/2""",Без контактов
,VF100-B(11)-0-B-BT,6-60 нл/мин,"NPT 1/2""",Без контактов
,VF100-B(12)-0-B-BT,12-120 нл/мин,"NPT 1/2""",Без контактов
,VF100-B(13)-0-B-BT,20-200 нл/мин,"NPT 1/2""",Без контактов
,VF100-B(14)-0-B-BT,40-400 нл/мин,"NPT 1/2""",Без контактов
,VF100-B(10)-1R-B-BT,2-20 нл/мин,"NPT 1/2""",Один контакт
,VF100-B(11)-1R-B-BT,6-60 нл/мин,"NPT 1/2""",Один контакт
,VF100-B(12)-1R-B-BT,12-120 нл/мин,"NPT 1/2""",Один контакт
,VF100-B(13)-1R-B-BT,20-200 нл/мин,"NPT 1/2""",Один контакт
,VF100-B(14)-1R-B-BT,40-400 нл/мин,"NPT 1/2""",Один контакт
,VF100-B(10)-2R-B-BT,2-20 нл/мин,"NPT 1/2""",Два контакта
,VF100-B(11)-2R-B-BT,6-60 нл/мин,"NPT 1/2""",Два контакта
,VF100-B(12)-2R-B-BT,12-120 нл/мин,"NPT 1/2""",Два контакта
,VF100-B(13)-2R-B-BT,20-200 нл/мин,"NPT 1/2""",Два контакта
,VF100-B(14)-2R-B-BT,40-400 нл/мин,"NPT 1/2""",Два контакта
