#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Корпус,Параметр:Заказной код:Среда,Параметр:Заказной код:Подсоединение
,DF-1-S(001)-A-1-B-2,"0,25-1,3 л/мин.",SS316,Вода,"NPT 1/4"""
,DF-1-S(002)-A-1-B-2,"0,7-3 л/мин",SS316,Вода,"NPT 1/4"""
,DF-1-S(003)-A-1-B-2,"0,8-4 л/мин",SS316,Вода,"NPT 1/4"""
,DF-1-S(004)-A-1-B-2,"1,8-9 л/мин",SS316,Вода,"NPT 1/4"""
,DF-1-S(005)-A-1-B-2,"2,6-13 л/мин",SS316,Вода,"NPT 1/4"""
,DF-1-S(006)-A-1-B-2,4-20 л/мин,SS316,Вода,"NPT 1/4"""
,DF-1-S(007)-A-1-B-2,15-80 л/час,SS316,Вода,"NPT 1/4"""
,DF-1-S(008)-A-1-B-2,40-200 л/час,SS316,Вода,"NPT 1/4"""
,DF-1-S(009)-A-1-B-2,50-250 л/час,SS316,Вода,"NPT 1/4"""
,DF-1-S(010)-A-1-B-2,110-550 л/час,SS316,Вода,"NPT 1/4"""
,DF-1-S(011)-A-1-B-2,160-800 л/час,SS316,Вода,"NPT 1/4"""
,DF-1-S(012)-A-1-B-2,250-1200 л/час,SS316,Вода,"NPT 1/4"""
,DF-1-S(013)-A-1-B-2,6-30 нл/мин,SS316,Воздух,"NPT 1/4"""
,DF-1-S(014)-A-1-B-2,15-80 нл/мин,SS316,Воздух,"NPT 1/4"""
,DF-1-S(015)-A-1-B-2,20-110 нл/мин,SS316,Воздух,"NPT 1/4"""
,DF-1-S(016)-A-1-B-2,40-220 нл/мин,SS316,Воздух,"NPT 1/4"""
,DF-1-S(017)-A-1-B-2,60-320 нл/мин,SS316,Воздух,"NPT 1/4"""
,DF-1-S(018)-A-1-B-2,100-500 нл/мин,SS316,Воздух,"NPT 1/4"""
,DF-1-S(019)-A-1-B-2,"0,35-1,7 нм³/час",SS316,Воздух,"NPT 1/4"""
,DF-1-S(020)-A-1-B-2,"1-4,7 нм³/час",SS316,Воздух,"NPT 1/4"""
,DF-1-S(021)-A-1-B-2,"1,3-6,6 нм³/час",SS316,Воздух,"NPT 1/4"""
,DF-1-S(023)-A-1-B-2,"2,6-13 нм³/час",SS316,Воздух,"NPT 1/4"""
,DF-1-S(024)-A-1-B-2,4-20 нм³/час,SS316,Воздух,"NPT 1/4"""
,DF-1-S(025)-A-1-B-2,6-30 нм³/час,SS316,Воздух,"NPT 1/4"""
