#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Вых.сигнал,Параметр:Заказной код:Блок питания
,TMF-00-A-1-0-1-1-1,0-100 нл/мин,0-5 VDC,Есть
,TMF-00-A-1-0-1-1-2,0-100 нл/мин,0-5 VDC,Нет
,TMF-00-A-1-0-2-1-1,0-100 нл/мин,4-20 mA,Есть
,TMF-00-A-1-0-2-1-2,0-100 нл/мин,4-20 mA,Нет
,TMF-01-A-1-0-1-1-1,0-150 нл/мин,0-5 VDC,Есть
,TMF-01-A-1-0-1-1-2,0-150 нл/мин,0-5 VDC,Нет
,TMF-01-A-1-0-2-1-1,0-150 нл/мин,4-20 mA,Есть
,TMF-01-A-1-0-2-1-2,0-150 нл/мин,4-20 mA,Нет
,TMF-02-A-1-0-1-1-1,0-200 нл/мин,0-5 VDC,Есть
,TMF-02-A-1-0-1-1-2,0-200 нл/мин,0-5 VDC,Нет
,TMF-02-A-1-0-2-1-1,0-200 нл/мин,4-20 mA,Есть
,TMF-02-A-1-0-2-1-2,0-200 нл/мин,4-20 mA,Нет
