#,Заказной код,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Тип и материал корпуса,Параметр:Заказной код:Длина штока
,36523051,от -30 до 50°C,стандартный алюминевый корпус,160 мм
,36535489,от -20 до 60°C,стандартный алюминевый корпус,160 мм
,36535493,от -20 до 60°C,стандартный алюминевый корпус,200 мм
,36535490,от 0 до 80°C,стандартный алюминевый корпус,160 мм
