#,Заказной код,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Тип и материал корпуса,Параметр:Заказной код:Длина штока
,36535340,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,40 мм
,36535341,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,60 мм
,36535348,0…60°C,G1/2 наруж.,стандартный алюминевый корпус,100 мм
,36535343,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,40 мм
,36535371,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,60 мм
,36535346,0…120°C,G1/2 наруж.,стандартный алюминевый корпус,100 мм
,36535376,0…60°C,G1/2 наруж.,стандартный стальной корпус,40 мм
,36535374,0…60°C,G1/2 наруж.,стандартный стальной корпус,60 мм
,36535381,0…60°C,G1/2 наруж.,стандартный стальной корпус,100 мм
,36535387,0…120°C,G1/2 наруж.,стандартный стальной корпус,40 мм
,36535386,0…120°C,G1/2 наруж.,стандартный стальной корпус,60 мм
,36535383,0…120°C,G1/2 наруж.,стандартный стальной корпус,100 мм
,36535401,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,40 мм
,36535402,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,60 мм
,36535403,0…60°C,G1/2 наруж.,стандартный пластиковый корпус,100 мм
,36535406,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,40 мм
,36535405,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,60 мм
,36535404,0…120°C,G1/2 наруж.,стандартный пластиковый корпус,100 мм
,36521882,0…60°C,G1/2 наруж.,"накладной, с алюминиевым корпусом",без штока
,36521863,0…120°C,G1/2 наруж.,"накладной, с алюминиевым корпусом",без штока
