#,Заказной код,Материал,Параметр:Материал:Материал2,Параметр:Заказной код:Подсоединение,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Фланец,Параметр:Заказной код:Серия,Параметр:Заказной код:Материал,"Параметр:Заказной код:Длина ""Т""",Параметр:Заказной код:Заглушка,"Параметр:Заказной код:""В""-условный проход","Параметр:Заказной код:Длина вставки ""U"", мм","Параметр:Заказной код:Диаметры Q и d, напишите в комментарии к заказу"
,BSF-S1-2-A-A-No-Q=____mm-d=____mm-1-75mm-Y,BRAS,BRAS,FNPT 1/2,TEST1,ANSI 150# 3/4,BSF<br><a class=bigImage href='products/big-bsf.png'><img src='products/small-bsf.png'></a>,SS304,0мм,Да,ø6мм,75мм,Q=____mm  и  d=____mm
,BSF-S1-2-A-A-No-Q=____mm-d=____mm-1-75mm-N,STEL,STEL,FNPT 1/2,TEST2,ANSI 150# 3/4,BSF<br><a class=bigImage href='products/big-bsf.png'><img src='products/small-bsf.png'></a>,SS304,0мм,Нет,ø6мм,75мм,Q=____mm  и  d=____mm
