#,Заказной код,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение
,VNXB-10-FN,10мм,"NPT 3/8"""
,VNXB-15-FN,15мм,"NPT 1/2"""
,VNXB-20-FN,20мм,"NPT 3/4"""
,VNXB-25-FN,25мм,"NPT 1"""
,VNXB-32-FN,32мм,"NPT 1 1/4"""
,VNXB-40-FN,40мм,"NPT 1 1/2"""
,VNXB-50-FN,50мм,"NPT 2"""
,VNXB-60-FN,65мм,"NPT 2 1/2"""
,VNXB-80-FN,80мм,"NPT 3"""
