#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Конфигурация,Параметр:Заказной код:Игла
,NV15VS02-O,"O.D. 1/8""",3-х ходовой (1-й тип),Стандартная
,NV15VS04-O,"O.D. 1/4""",3-х ходовой (1-й тип),Стандартная
,NV15VS06-O,"O.D. 3/8""",3-х ходовой (1-й тип),Стандартная
,NV15VS02-T,"O.D. 1/8""",3-х ходовой (2-й тип),Стандартная
,NV15VS04-T,"O.D. 1/4""",3-х ходовой (2-й тип),Стандартная
,NV15VS06-T,"O.D. 3/8""",3-х ходовой (2-й тип),Стандартная
,NV15VS04-S,"O.D. 1/4""",Прямой,Стандартная
