#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Конфигурация,Параметр:Заказной код:Игла,Параметр:Заказной код:Ду (мм)
,NVNVS02-S,NPT 1/8,Прямой,Стандартная,Ø5.16
,NVNVS04-S,NPT 1/4,Прямой,Стандартная,Ø5.16
,NVNVS06-S,NPT 3/8,Прямой,Стандартная,Ø7.92
,NVNVS08-S,NPT 1/2,Прямой,Стандартная,Ø7.92
,NVNVS12-S,NPT 3/4,Прямой,Стандартная,Ø17.45
,NVNVS16-S,NPT 1,Прямой,Стандартная,Ø17.45
,NVNVS02-A,NPT 1/8,Угловой,Стандартная,Ø5.16
,NVNVS04-A,NPT 1/4,Угловой,Стандартная,Ø5.16
,NVNVS06-A,NPT 3/8,Угловой,Стандартная,Ø7.92
,NVNVS08-A,NPT 1/2,Угловой,Стандартная,Ø7.92
,NVNVS12-A,NPT 3/4,Угловой,Стандартная,Ø17.45
,NVNVS16-A,NPT 1,Угловой,Стандартная,Ø17.45
