#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Исполнение привода,Параметр:Заказной код:Концевой выключаетель
,H1B-H-6M-ML-APB-C,Hy-Lok 6мм,414 бар,1.2,10мм,PVDF (стандарт),да,Нормально закрытый,нет
,H1B-H-10M-ML-APB-C,Hy-Lok 10мм,414 бар,3.7,10мм,PVDF (стандарт),да,Нормально закрытый,нет
,H1B-H-12M-ML-APB-C,Hy-Lok 12мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,нет
,H1B-H-14M-ML-APB-C,Hy-Lok 14мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,нет
,H2B-H-16M-ML-APB-C,Hy-Lok 16мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально закрытый,нет
,H2B-H-18M-ML-APB-C,Hy-Lok 18мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально закрытый,нет
,H3B-H-20M-ML-APB-C,Hy-Lok 20мм,,,,PVDF (стандарт),да,Нормально закрытый,нет
,H3B-H-25M-ML-APB-C,Hy-Lok 25мм,340 бар,30,19мм,PVDF (стандарт),да,Нормально закрытый,нет
,H1B-F-4N-ML-APB-C,NPT 1/4 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,нет
,H1B-F-8N-ML-APB-C,NPT 1/2 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,нет
,HB1-H-3M-APB-C,Hy-Lok 3мм,414 бар,0.18,2.2мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB1-H-6M-APB-C,Hy-Lok 6мм,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB2-H-8M-APB-C,Hy-Lok 8мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB2-H-10M-APB-C,Hy-Lok 10мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB3-H-12M-APB-C,Hy-Lok 12мм,414 бар,5.57,9.5мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB3-H-16M-APB-C,Hy-Lok 16мм,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB1-M-2N-APB-C,1/8” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB1-M-4N-APB-C,1/4” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB1-F-2N-APB-C,1/8” NPT внутр.,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB2-F-4N-APB-C,1/4” NPT внутр.,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB3-F-6N-APB-C,3/8” NPT внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,нет
,HB3-F-8N-APB-C,NPT 1/2 внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,нет
,H1B-H-6M-PK-ML-APB-C,Hy-Lok 6мм,690 бар,1.2,10мм,PEEK,да,Нормально закрытый,нет
,H1B-H-10M-PK-ML-APB-C,Hy-Lok 10мм,690 бар,3.7,10мм,PEEK,да,Нормально закрытый,нет
,H1B-H-12M-PK-ML-APB-C,Hy-Lok 12мм,690 бар,7.5,10мм,PEEK,да,Нормально закрытый,нет
,H1B-H-14M-PK-ML-APB-C,Hy-Lok 14мм,690 бар,7.5,10мм,PEEK,да,Нормально закрытый,нет
,H2B-H-16M-PK-ML-APB-C,Hy-Lok 16мм,410 бар,10,12.7мм,PEEK,да,Нормально закрытый,нет
,H2B-H-18M-PK-ML-APB-C,Hy-Lok 18мм,410 бар,10,12.7мм,PEEK,да,Нормально закрытый,нет
,H3B-H-20M-PK-ML-APB-C,Hy-Lok 20мм,410 бар,,,PEEK,да,Нормально закрытый,нет
,H3B-H-25M-PK-ML-APB-C,Hy-Lok 25мм,410 бар,,,PEEK,да,Нормально закрытый,нет
,H1B-H-6M-ML-APB-O,Hy-Lok 6мм,414 бар,1.2,10мм,PVDF (стандарт),да,Нормально открытый,нет
,H1B-H-10M-ML-APB-O,Hy-Lok 10мм,414 бар,3.7,10мм,PVDF (стандарт),да,Нормально открытый,нет
,H1B-H-12M-ML-APB-O,Hy-Lok 12мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально открытый,нет
,H1B-H-14M-ML-APB-O,Hy-Lok 14мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально открытый,нет
,H2B-H-16M-ML-APB-O,Hy-Lok 16мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально открытый,нет
,H2B-H-18M-ML-APB-O,Hy-Lok 18мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально открытый,нет
,H3B-H-20M-ML-APB-O,Hy-Lok 20мм,,,,PVDF (стандарт),да,Нормально открытый,нет
,H3B-H-25M-ML-APB-O,Hy-Lok 25мм,340 бар,30,19мм,PVDF (стандарт),да,Нормально открытый,нет
,H1B-F-4N-ML-APB-O,NPT 1/4 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально открытый,нет
,H1B-F-8N-ML-APB-O,NPT 1/2 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально открытый,нет
,HB1-H-3M-APB-O,Hy-Lok 3мм,414 бар,0.18,2.2мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB1-H-6M-APB-O,Hy-Lok 6мм,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB2-H-8M-APB-O,Hy-Lok 8мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB2-H-10M-APB-O,Hy-Lok 10мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB3-H-12M-APB-O,Hy-Lok 12мм,414 бар,5.57,9.5мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB3-H-16M-APB-O,Hy-Lok 16мм,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB1-M-2N-APB-O,1/8” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB1-M-4N-APB-O,1/4” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB1-F-2N-APB-O,1/8” NPT внутр.,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB2-F-4N-APB-O,1/4” NPT внутр.,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB3-F-6N-APB-O,3/8” NPT внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально открытый,нет
,HB3-F-8N-APB-O,NPT 1/2 внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально открытый,нет
,H1B-H-6M-PK-ML-APB-O,Hy-Lok 6мм,690 бар,1.2,10мм,PEEK,да,Нормально открытый,нет
,H1B-H-10M-PK-ML-APB-O,Hy-Lok 10мм,690 бар,3.7,10мм,PEEK,да,Нормально открытый,нет
,H1B-H-12M-PK-ML-APB-O,Hy-Lok 12мм,690 бар,7.5,10мм,PEEK,да,Нормально открытый,нет
,H1B-H-14M-PK-ML-APB-O,Hy-Lok 14мм,690 бар,7.5,10мм,PEEK,да,Нормально открытый,нет
,H2B-H-16M-PK-ML-APB-O,Hy-Lok 16мм,410 бар,10,12.7мм,PEEK,да,Нормально открытый,нет
,H2B-H-18M-PK-ML-APB-O,Hy-Lok 18мм,410 бар,10,12.7мм,PEEK,да,Нормально открытый,нет
,H3B-H-20M-PK-ML-APB-O,Hy-Lok 20мм,410 бар,,,PEEK,да,Нормально открытый,нет
