#,Заказной код,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Cv,Параметр:Заказной код:Резьба,Параметр:Заказной код:Давление минимальное,Параметр:Заказной код:Давление максимальное
,VSAA-8-FN-1-AC220V-NC,1,0.04,"FNPT 1/4""",0 бар,300 бар
,"VSAA-8-FN-1,5-AC220V-NC","1,5",0.08,"FNPT 1/4""",0 бар,250 бар
,VSAA-8-FN-2-AC220V-NC,2,0.15,"FNPT 1/4""",0 бар,180 бар
,"VSAA-8-FN-2,5-AC220V-NC","2,5",0.2,"FNPT 1/4""",0 бар,110 бар
,VSAA-8-FN-3-AC220V-NC,3,0.25,"FNPT 1/4""",0 бар,80 бар
,VSAA-8-FN-4-AC220V-NC,4,0.6,"FNPT 1/4""",0 бар,40 бар
,VSAA-8-FN-5-AC220V-NC,5,0.9,"FNPT 1/4""",0 бар,30 бар
,VSAA-10-FN-1-AC220V-NC,1,0.03,"FNPT 3/8""",0 бар,300 бар
,"VSAA-10-FN-1,5-AC220V-NC","1,5",0.08,"FNPT 3/8""",0 бар,250 бар
,VSAA-10-FN-2-AC220V-NC,2,0.15,"FNPT 3/8""",0 бар,180 бар
,"VSAA-10-FN-2,5-AC220V-NC","2,5",0.2,"FNPT 3/8""",0 бар,110 бар
,VSAA-10-FN-3-AC220V-NC,3,0.25,"FNPT 3/8""",0 бар,80 бар
,VSAA-10-FN-4-AC220V-NC,4,0.6,"FNPT 3/8""",0 бар,40 бар
,VSAA-10-FN-5-AC220V-NC,5,0.9,"FNPT 3/8""",0 бар,30 бар
