#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Ду,Параметр:Заказной код:Материал седла,,,
,H1B-3B-H-6M-ML-AEB-24AC/DC,Hy-Lok 6мм,331 бар,10мм,PVDF (стандарт),,,
,H1B-3B-H-10M-ML-AEB-24AC/DC,Hy-Lok 10мм,331 бар,10мм,PVDF (стандарт),,,
,H1B-3B-H-12M-ML-AEB-24AC/DC,Hy-Lok 12мм,331 бар,10мм,PVDF (стандарт),,,
,H1B-3B-H-14M-ML-AEB-24AC/DC,Hy-Lok 14мм,331 бар,10мм,PVDF (стандарт),,,
,H3B-3B-H-25M-ML-AEB-24AC/DC,Hy-Lok 25мм,272 бар,19мм,PVDF (стандарт),,,
,H1B-3B-F-4N-ML-AEB-24AC/DC,"NPT 1/4"" внутр.",331 бар,10мм,PVDF (стандарт),,,
,H1B-3B-F-8N-ML-AEB-24AC/DC,"NPT 1/2"" внутр.",331 бар,10мм,PVDF (стандарт),,,
,HB1-B3-H-3M-AEB-24AC/DC,Hy-Lok 3мм,414 бар,2.2мм,PCTFE*,,,
,HB1-B3-H-6M-AEB-24AC/DC,Hy-Lok 6мм,414 бар,,PCTFE*,,,
,HB2-B3-H-8M-AEB-24AC/DC,Hy-Lok 8мм,414 бар,6.4мм,PCTFE*,,,
,HB2-B3-H-10M-AEB-24AC/DC,Hy-Lok 10мм,414 бар,,PCTFE*,,,
,HB3-B3-H-12M-AEB-24AC/DC,Hy-Lok 12мм,414 бар,9.5мм,PCTFE*,,,
,HB1-B3-M-4N-AEB-24AC/DC,"NPT 1/4""",414 бар,,PCTFE*,,,
,HB1-B3-F-2N-AEB-24AC/DC,"NPT 1/8"" внутр.",414 бар,4.2мм,PCTFE*,,,
,HB2-B3-F-4N-AEB-24AC/DC,"NPT 1/4"" внутр.",414 бар,,PCTFE*,,,
,HB3-B3-F-8N-AEB-24AC/DC,"NPT 1/2"" внутр.",414 бар,,PCTFE*,,,
,H1B-3B-H-10M-PK-ML-AEB-24AC/DC,Hy-Lok 10мм,552 бар,10мм,PEEK,,,
,H1B-3B-H-12M-PK-ML-AEB-24AC/DC,Hy-Lok 12мм,552 бар,10мм,PEEK,,,
,H1B-3B-H-14M-PK-ML-AEB-24AC/DC,Hy-Lok 14мм,552 бар,10мм,PEEK,,,
