#,Заказной код,Параметр:Заказной код:Давления открытия,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CVA-MF-8N-B-BU,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-4N-C-BU,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-8N-C-BU,"10,3..24,1бар",Ø 10мм,NPT 1/2 внутр.,Buna N,206 бар,-23°,121°C
,CVA-M-4N-C-BU,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8N-C-BU,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-4R-C-BU,"10,3..24,1бар","Ø 4,8мм",RT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8R-C-BU,"10,3..24,1бар",Ø 10мм,RT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-MF-4N-C-BU,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Buna N,206 бар,-23°,121°C
,CVA-MF-8N-C-BU,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-4N-D-BU,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-8N-D-BU,"24,1..41,4бар",Ø 10мм,NPT 1/2 внутр.,Buna N,206 бар,-23°,121°C
,CVA-M-4N-D-BU,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8N-D-BU,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-4R-D-BU,"24,1..41,4бар","Ø 4,8мм",RT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8R-D-BU,"24,1..41,4бар",Ø 10мм,RT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-MF-4N-D-BU,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Buna N,206 бар,-23°,121°C
