#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VBZY-8-WS,8мм,1/4” под приварку внахлест,140 бар
,VBZY-10-WS,10мм,3/8” под приварку внахлест,140 бар
,VBZY-15-WS,15мм,1/2” под приварку внахлест,140 бар
,VBZY-20-WS,20мм,3/4” под приварку внахлест,140 бар
,VBZY-25-WS,25мм,1” под приварку внахлест,140 бар
,VBZY-32-WS,32мм,1-1/4” под приварку внахлест,103 бара
,VBZY-40-WS,40мм,1-1/2” под приварку внахлест,103 бара
,VBZY-50-WS,50мм,2” под приварку внахлест,103 бара
,VBZY-65-WS,65мм,2 1/2” под приварку внахлест,70 бар
,VBZY-80-WS,80мм,3” под приварку внахлест,70 бар
,VBZY-100-WS,100мм,4” под приварку внахлест,70 бар
