#,Заказной код,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Давление открытия,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход
,VRCA-T-4T-1BAR,200 бар,1 бар,"ниппель 1/4""",в атмосферу
,VRCA-T-6M-1BAR,200 бар,1 бар,ниппель 6мм,в атмосферу
,VRCA-TF-4T-2G-1BAR,200 бар,1 бар,"ниппель 1/4""","BSPP 1/8"" внутр."
,VRCA-TF-6M-2G-1BAR,200 бар,1 бар,ниппель 6мм,"BSPP 1/8"" внутр."
